dataset,datafile,filter_function,processing time
small,"ladder_graph[10].json",den_0_5,0.0016658306121826172
small,"ladder_graph[10].json",ev_1,0.003529071807861328
small,"ladder_graph[10].json",ev_2,0.003529071807861328
small,"ladder_graph[10].json",ev_3,0.003529071807861328
small,"ladder_graph[10].json",ev_4,0.003529071807861328
small,"ladder_graph[10].json",ev_5,0.003529071807861328
small,"ladder_graph[10].json",ev_norm_1,0.0033140182495117188
small,"ladder_graph[10].json",ev_norm_2,0.0033140182495117188
small,"ladder_graph[10].json",ev_norm_3,0.0033140182495117188
small,"ladder_graph[10].json",ev_norm_4,0.0033140182495117188
small,"ladder_graph[10].json",ev_norm_5,0.0033140182495117188
small,"connected_caveman_graph(3,5).json",agd,0.0009808540344238281
small,"connected_caveman_graph(3,5).json",ecc,0.001322031021118164
small,"connected_caveman_graph(3,5).json",pr_0_85,0.0035071372985839844
small,"connected_caveman_graph(3,5).json",fv,0.007537126541137695
small,"connected_caveman_graph(3,5).json",fv_norm,0.008507013320922852
small,"connected_caveman_graph(3,5).json",den_0_5,0.0015270709991455078
small,"connected_caveman_graph(3,5).json",ev_1,0.0012691020965576172
small,"connected_caveman_graph(3,5).json",ev_2,0.0012691020965576172
small,"connected_caveman_graph(3,5).json",ev_3,0.0012691020965576172
small,"connected_caveman_graph(3,5).json",ev_4,0.0012691020965576172
small,"connected_caveman_graph(3,5).json",ev_5,0.0012691020965576172
small,"connected_caveman_graph(3,5).json",ev_norm_1,0.04743599891662598
small,"connected_caveman_graph(3,5).json",ev_norm_2,0.04743599891662598
small,"connected_caveman_graph(3,5).json",ev_norm_3,0.04743599891662598
small,"connected_caveman_graph(3,5).json",ev_norm_4,0.04743599891662598
small,"connected_caveman_graph(3,5).json",ev_norm_5,0.04743599891662598
small,"dodecahedral_graph().json",agd,0.0015690326690673828
small,"dodecahedral_graph().json",ecc,0.0020570755004882812
small,"dodecahedral_graph().json",pr_0_85,0.0013859272003173828
