datafile,df_nodes,filter_func,cover_elem_count,component_method,connectivity_method,ranked,nodes,edges,compute_time
"connected_caveman_graph(15,30).json",450,den_0_5,2,modularity,connectivity,false,20,23,0.1945
"connected_caveman_graph(15,30).json",450,den_0_5,2,async_label_prop,connectivity,false,27,36,0.0617
"connected_caveman_graph(15,30).json",450,den_0_5,20,connected_components,connectivity,false,60,90,0.0188
"connected_caveman_graph(15,30).json",450,den_0_5,20,modularity,connectivity,false,60,90,0.1718
"connected_caveman_graph(15,30).json",450,den_0_5,20,async_label_prop,connectivity,false,60,90,0.0632
"usair97.json",332,agd,2,connected_components,connectivity,false,6,5,0.0087
"usair97.json",332,agd,2,modularity,connectivity,false,11,14,0.2116
"usair97.json",332,agd,2,async_label_prop,connectivity,false,15,17,0.086
"usair97.json",332,agd,20,connected_components,connectivity,false,75,94,0.0118
"usair97.json",332,agd,20,modularity,connectivity,false,87,142,0.0878
"usair97.json",332,agd,20,async_label_prop,connectivity,false,82,109,0.0696
"usair97.json",332,ecc,2,connected_components,connectivity,false,49,48,0.0096
"usair97.json",332,ecc,2,modularity,connectivity,false,57,70,0.1123
"usair97.json",332,ecc,2,async_label_prop,connectivity,false,65,83,0.0786
"usair97.json",332,ecc,20,connected_components,connectivity,false,99,101,0.0121
"usair97.json",332,ecc,20,modularity,connectivity,false,105,127,0.0912
"usair97.json",332,ecc,20,async_label_prop,connectivity,false,113,140,0.0714
"usair97.json",332,pr_0_85,2,connected_components,connectivity,false,50,49,0.0099
"usair97.json",332,pr_0_85,2,modularity,connectivity,false,59,69,0.1139
"usair97.json",332,pr_0_85,2,async_label_prop,connectivity,false,69,89,0.0937
"usair97.json",332,pr_0_85,20,connected_components,connectivity,false,158,592,0.0152
"usair97.json",332,pr_0_85,20,modularity,connectivity,false,165,754,0.0412
"usair97.json",332,pr_0_85,20,async_label_prop,connectivity,false,172,680,0.0392
"usair97.json",332,fv,2,connected_components,connectivity,false,2,1,0.0085
"usair97.json",332,fv,2,modularity,connectivity,false,8,11,0.2178
"usair97.json",332,fv,2,async_label_prop,connectivity,false,13,13,0.0879
"usair97.json",332,fv,20,connected_components,connectivity,false,3,2,0.0098
"usair97.json",332,fv,20,modularity,connectivity,false,9,12,0.2169
"usair97.json",332,fv,20,async_label_prop,connectivity,false,11,10,0.1068
"usair97.json",332,fv_norm,2,connected_components,connectivity,false,4,3,0.0086
"usair97.json",332,fv_norm,2,modularity,connectivity,false,9,12,0.2155
"usair97.json",332,fv_norm,2,async_label_prop,connectivity,false,18,21,0.0856
"usair97.json",332,fv_norm,20,connected_components,connectivity,false,19,21,0.0105
"usair97.json",332,fv_norm,20,modularity,connectivity,false,26,35,0.2023
"usair97.json",332,fv_norm,20,async_label_prop,connectivity,false,30,38,0.1232
"usair97.json",332,den_0_5,2,connected_components,connectivity,false,4,3,0.0086
"usair97.json",332,den_0_5,2,modularity,connectivity,false,9,12,0.2179
"usair97.json",332,den_0_5,2,async_label_prop,connectivity,false,14,16,0.144
"usair97.json",332,den_0_5,20,connected_components,connectivity,false,60,76,0.0116
"usair97.json",332,den_0_5,20,modularity,connectivity,false,72,126,0.1173
"usair97.json",332,den_0_5,20,async_label_prop,connectivity,false,66,83,0.0721
"enron-email.json",143,agd,2,connected_components,connectivity,false,6,5,0.0033
"enron-email.json",143,agd,2,modularity,connectivity,false,10,15,0.0435
"enron-email.json",143,agd,2,async_label_prop,connectivity,false,15,30,0.0353
"enron-email.json",143,agd,20,connected_components,connectivity,false,70,176,0.0061
"enron-email.json",143,agd,20,modularity,connectivity,false,78,243,0.0172
"enron-email.json",143,agd,20,async_label_prop,connectivity,false,79,250,0.0132
"enron-email.json",143,ecc,2,connected_components,connectivity,false,5,4,0.0049
"enron-email.json",143,ecc,2,modularity,connectivity,false,13,43,0.0571
"enron-email.json",143,ecc,2,async_label_prop,connectivity,false,24,98,0.0464
"enron-email.json",143,ecc,20,connected_components,connectivity,false,45,96,0.008
"enron-email.json",143,ecc,20,modularity,connectivity,false,64,278,0.0466
"enron-email.json",143,ecc,20,async_label_prop,connectivity,false,69,310,0.0465
"enron-email.json",143,pr_0_85,2,connected_components,connectivity,false,2,1,0.0031
"enron-email.json",143,pr_0_85,2,modularity,connectivity,false,7,17,0.0425
"enron-email.json",143,pr_0_85,2,async_label_prop,connectivity,false,16,54,0.0331
"enron-email.json",143,pr_0_85,20,connected_components,connectivity,false,88,327,0.0069
"enron-email.json",143,pr_0_85,20,modularity,connectivity,false,91,358,0.0152
"enron-email.json",143,pr_0_85,20,async_label_prop,connectivity,false,94,373,0.0112
"enron-email.json",143,fv,2,connected_components,connectivity,false,2,1,0.0032
"enron-email.json",143,fv,2,modularity,connectivity,false,7,14,0.0467
"enron-email.json",143,fv,2,async_label_prop,connectivity,false,8,16,0.0424
"enron-email.json",143,fv,20,connected_components,connectivity,false,8,9,0.0041
"enron-email.json",143,fv,20,modularity,connectivity,false,16,34,0.0427
"enron-email.json",143,fv,20,async_label_prop,connectivity,false,12,23,0.0285
"enron-email.json",143,fv_norm,2,connected_components,connectivity,false,5,4,0.0033
"enron-email.json",143,fv_norm,2,modularity,connectivity,false,12,20,0.0456
"enron-email.json",143,fv_norm,2,async_label_prop,connectivity,false,9,10,0.0348
"enron-email.json",143,fv_norm,20,connected_components,connectivity,false,38,64,0.0051
"enron-email.json",143,fv_norm,20,modularity,connectivity,false,43,97,0.0259
"enron-email.json",143,fv_norm,20,async_label_prop,connectivity,false,47,111,0.0258
"enron-email.json",143,den_0_5,2,connected_components,connectivity,false,2,1,0.0031
"enron-email.json",143,den_0_5,2,modularity,connectivity,false,7,17,0.0427
"enron-email.json",143,den_0_5,2,async_label_prop,connectivity,false,16,56,0.0332
"enron-email.json",143,den_0_5,20,connected_components,connectivity,false,85,320,0.0148
"enron-email.json",143,den_0_5,20,modularity,connectivity,false,88,337,0.0161
"enron-email.json",143,den_0_5,20,async_label_prop,connectivity,false,88,335,0.0122
"bn-mouse-visual-cortex-2.json",193,agd,2,connected_components,connectivity,false,99,98,0.0056
"bn-mouse-visual-cortex-2.json",193,agd,2,modularity,connectivity,false,103,107,0.0291
"bn-mouse-visual-cortex-2.json",193,agd,2,async_label_prop,connectivity,false,102,104,0.0132
"bn-mouse-visual-cortex-2.json",193,agd,20,connected_components,connectivity,false,209,243,0.01
"bn-mouse-visual-cortex-2.json",193,agd,20,modularity,connectivity,false,209,243,0.0127
"bn-mouse-visual-cortex-2.json",193,agd,20,async_label_prop,connectivity,false,209,243,0.0109
"bn-mouse-visual-cortex-2.json",193,ecc,2,connected_components,connectivity,false,120,119,0.0075
"bn-mouse-visual-cortex-2.json",193,ecc,2,modularity,connectivity,false,126,144,0.0672
"bn-mouse-visual-cortex-2.json",193,ecc,2,async_label_prop,connectivity,false,127,147,0.0173
"bn-mouse-visual-cortex-2.json",193,ecc,20,connected_components,connectivity,false,335,728,0.0157
"bn-mouse-visual-cortex-2.json",193,ecc,20,modularity,connectivity,false,335,728,0.0257
