record #,subjectId,age,gender,vision,vis,secondsOnPage,userSelection,img1,img2,img3,img4,baseline
1581,8,,,,,7.137,Option 2,"user_connected_caveman_graph(15,30)_ecc_6_connected_components.png","user_random_lobster(100,0_6,0_4)_den_0_5_6_connected_components.png","user_random_lobster(100,0_6,0_4)_pr_0_85_6_connected_components.png",user_map_of_science_fv_6_connected_components.png,"user_random_lobster(100,0_6,0_4).png"
1582,8,,,,,4.942,Option 2,user_bcsstk22_den_0_5_20_modularity.png,user_bcsstk22_fv_20_modularity.png,user_circular_ladder_graph(100)_ecc_20_modularity.png,"user_random_lobster(100,0_6,0_4)_agd_20_modularity.png",user_bcsstk22.png
1583,8,,,,,5.19,Option 4,"user_watts_strogatz_graph(100,5,0.05)_fv_6_async_label_prop.png","user_watts_strogatz_graph(100,5,0.05)_pr_0_85_6_async_label_prop.png",user_caltech_den_0_5_6_async_label_prop.png,user_movies_den_0_5_6_async_label_prop.png,"user_watts_strogatz_graph(100,5,0.05).png"
1584,8,,,,,2.716,Option 1,user_hic_5k_net_6_pr_0_85_30_modularity.png,user_hic_5k_net_6_ecc_30_modularity.png,user_bcsstk22_pr_0_85_30_modularity.png,user_usair97_den_0_5_30_modularity.png,user_hic_5k_net_6.png
1585,8,,,,,2.856,Option 3,user_circular_ladder_graph(100)_fv_20_async_label_prop.png,user_usair97_ecc_20_async_label_prop.png,user_caltech_pr_0_85_20_async_label_prop.png,user_caltech_fv_20_async_label_prop.png,user_caltech.png
1586,8,,,,,3.698,Option 2,user_movies_agd_20_async_label_prop.png,user_circular_ladder_graph(100)_pr_0_85_20_async_label_prop.png,user_bcsstk_den_0_5_20_async_label_prop.png,user_bcsstk_fv_20_async_label_prop.png,user_bcsstk.png
1587,8,,,,,5.56,Option 1,user_map_of_science_den_0_5_20_modularity.png,user_usair97_fv_20_modularity.png,user_map_of_science_ecc_20_modularity.png,"user_watts_strogatz_graph(100,5,0.05)_ecc_20_modularity.png",user_map_of_science.png
1588,8,,,,,5.78,Option 2,"user_watts_strogatz_graph(100,5,0.05)_ecc_10_async_label_prop.png",user_enron-email_pr_0_85_10_async_label_prop.png,"user_watts_strogatz_graph(100,5,0.05)_pr_0_85_10_async_label_prop.png",user_hic_5k_net_6_fv_10_async_label_prop.png,"user_watts_strogatz_graph(100,5,0.05).png"
1589,8,,,,,3.009,Option 1,user_map_of_science_ecc_30_connected_components.png,user_circular_ladder_graph(100)_ecc_30_connected_components.png,user_bio-diseasome_den_0_5_30_connected_components.png,user_map_of_science_fv_30_connected_components.png,user_map_of_science.png
1590,8,,,,,2.373,Option 2,"user_barbell_graph(50,20)_agd_30_connected_components.png","user_barbell_graph(50,20)_den_0_5_30_connected_components.png",user_bio-diseasome_ecc_30_connected_components.png,user_map_of_science_agd_30_connected_components.png,"user_barbell_graph(50,20).png"
1591,8,,,,,6.026,Option 4,user_bcsstk20_fv_10_modularity.png,user_bio-diseasome_ecc_10_modularity.png,user_circular_ladder_graph(100)_ecc_10_modularity.png,user_bcsstk20_ecc_10_modularity.png,user_bcsstk20.png
1592,8,,,,,3.099,Option 1,user_usair97_pr_0_85_10_connected_components.png,user_usair97_fv_10_connected_components.png,user_bcsstk22_agd_10_connected_components.png,user_movies_fv_10_connected_components.png,user_usair97.png
